0.17321D-02,0.25570D+01
0.34641D-02,0.25541D+01
0.51962D-02,0.25512D+01
0.69282D-02,0.25483D+01
0.86603D-02,0.25454D+01
0.10392D-01,0.25425D+01
0.12124D-01,0.25396D+01
0.13856D-01,0.25367D+01
0.15588D-01,0.25339D+01
0.17321D-01,0.25310D+01
0.19053D-01,0.25281D+01
0.20785D-01,0.25252D+01
0.22517D-01,0.25223D+01
0.24249D-01,0.25194D+01
0.25981D-01,0.25165D+01
0.27713D-01,0.25136D+01
0.29445D-01,0.25107D+01
0.31177D-01,0.25079D+01
0.32909D-01,0.25050D+01
0.34641D-01,0.25021D+01
0.36373D-01,0.24992D+01
0.38105D-01,0.24963D+01
0.39837D-01,0.24934D+01
0.41569D-01,0.24905D+01
0.43301D-01,0.24876D+01
0.45033D-01,0.24848D+01
0.46765D-01,0.24819D+01
0.48497D-01,0.24790D+01
0.50229D-01,0.24761D+01
0.51962D-01,0.24732D+01
0.53694D-01,0.24703D+01
0.55426D-01,0.24674D+01
0.57158D-01,0.24645D+01
0.58890D-01,0.24616D+01
0.60622D-01,0.24588D+01
0.62354D-01,0.24559D+01
0.64086D-01,0.24530D+01
0.65818D-01,0.24501D+01
0.67550D-01,0.24472D+01
0.69282D-01,0.24443D+01
0.71014D-01,0.24414D+01
0.72746D-01,0.24385D+01
0.74478D-01,0.24357D+01
0.76210D-01,0.24328D+01
0.77942D-01,0.24299D+01
0.79674D-01,0.24270D+01
0.81406D-01,0.24241D+01
0.83138D-01,0.24212D+01
0.84870D-01,0.24183D+01
0.86603D-01,0.24154D+01
0.88335D-01,0.24125D+01
0.90067D-01,0.24097D+01
0.91799D-01,0.24068D+01
0.93531D-01,0.24039D+01
0.95263D-01,0.24010D+01
0.96995D-01,0.23981D+01
0.98727D-01,0.23952D+01
0.10046D+00,0.23923D+01
0.10219D+00,0.23894D+01
0.10392D+00,0.23866D+01
0.10566D+00,0.23837D+01
0.10739D+00,0.23808D+01
0.10912D+00,0.23779D+01
0.11085D+00,0.23750D+01
0.11258D+00,0.23721D+01
0.11432D+00,0.23692D+01
0.11605D+00,0.23663D+01
